年,類型,改善點,主辦業者,通訊技術,是否包含原鄉部落,是否為法定偏遠地區,是否為原鄉,步道名稱,設置手機標記牌地點,行政區域代碼,改善點經度,改善點緯度,中華電信,遠傳電信,台灣大哥大,台灣之星,亞太電信,是否為林務局指定改善點
109,山徑步道及林道,石夢谷步道,中華電信,3G/4G,是,是,是,石夢谷步道,仙夢園、涼亭,10010180,120.77225,23.56825,1,1,1,1,0,是
109,山徑步道及林道,特富野古道,中華電信,3G/4G,是,是,是,特富野古道,台18線96K,10010180,120.826055,23.478525,1,1,1,1,0,是
109,山徑步道及林道,對高岳步道,中華電信,3G/4G,是,是,是,對高岳步道,對高岳涼亭,10010180,120.827621,23.478527,1,1,1,1,1,是
109,山徑步道及林道,千人洞,中華電信,3G/4G,是,是,是,千人洞,阿區43林班,10010180,120.788333,23.575778,1,1,1,0,0,是
109,山徑步道及林道,關子嶺大凍山,中華電信,3G/4G,否,是,否,關子嶺大凍山步道,大凍山步道起點,10011030,120.510694,23.318306,1,1,1,1,1,是
109,山徑步道及林道,雞籠山步道,中華電信,3G/4G,否,是,否,關子嶺雞籠山步道,大凍山路牌2,10011030,120.515972,23.313833,1,1,1,1,1,是
109,山徑步道及林道,崁頭山步道,中華電信,3G/4G,否,是,否,關子嶺崁頭山步道,橫石亭,10011060,120.515944,23.311167,1,1,1,1,1,是
109,山徑步道及林道,屏東北大武山國家步道,中華電信,3G/4G,是,是,是,北大武山國家步道,檜谷山莊(4.2km),10013290,120.669778,22.696778,1,1,1,0,1,是
109,山徑步道及林道,台東嘉明湖國家步道,台灣大哥大,4G,是,是,是,嘉明湖國家步道,13.2K,10014120,121.033269,23.295339,1,1,1,1,1,是
109,山徑步道及林道,安通越嶺古道東段,中華電信,3G/4G,是,是,是,安通越嶺古道-東段,步道4.5K,10014080,121.392528,23.279861,1,1,0,1,0,是
109,山徑步道及林道,七星山,台灣之星,4G,否,否,否,七星山步道,七星山公園,63000120,121.556844,25.165872,1,1,1,1,1,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路5K+100m~5K+500m,10010180,120.485222,23.494694,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路18k+500m~20k+000m,10010180,120.573583,23.539389,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路21k+800m~22k,10010180,120.593889,23.535917,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路18k+814,10010180,120.577028,23.537583,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,獨立山車站27k+363,10010180,120.607472,23.538611,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,交力坪車站34k+900,10010180,120.643806,23.531528,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,水社寮車站40k+493,10010180,120.659556,23.504417,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路60K+400m~62K+800m,10010180,120.779917,23.510944,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路63K+000m~64K+250m,10010180,120.794278,23.518,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路64K+500m~66K+800m,10010180,120.793806,23.513917,1,0,0,0,0,是
109,道路及鐵路,阿里山林業鐵路7站-實際11站,中華電信,3G/4G,是,是,是,阿里山林業鐵路,林業鐵路67K+500m~69K+700m,10010180,120.797,23.511389,1,0,0,0,0,是
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,南橫公路132K,64000370,120.915022,23.262108,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,南橫公路133K,64000370,120.921272,23.259081,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,啞口,10014120,120.961219,23.264092,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,向陽國家森林遊樂園,10014120,120.985386,23.248911,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,栗園,10014120,121.011203,23.2217,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,南橫公路160K,10014120,121.033217,23.208117,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,南橫公路170K,10014120,121.029886,23.185019,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,霧鹿派出所,10014120,121.042553,23.172181,1,1,1,0,0,否
109,道路及鐵路,南橫公路天池至霧鹿沿線(9站),遠傳電信,4G,否,是,是,南橫公路天池至霧鹿沿線步道,松濤隧道,10014120,121.087072,23.139844,1,1,1,0,0,否
109,山及三角點,塔曼山三角點,中華電信,3G/4G,是,是,是,塔曼山步道,塔曼山三角點,65000290,121.450466,24.705944,1,1,1,0,0,是
109,山及三角點,杉林溪獅子頭山,中華電信,3G/4G,否,否,否,杉林溪_獅子頭山,獅子頭山,10008040,120.7935,23.61825,1,0,0,1,0,是
109,山及三角點,烏松坑,中華電信,3G/4G,否,否,否,杉林溪_烏松坑,烏松坑,10008040,120.806222,23.614194,1,0,1,1,0,是
109,山及三角點,忘憂森林金柑樹山,中華電信,3G/4G,否,否,否,忘憂森林_金柑樹山,金柑樹山,10008040,120.805639,23.646444,1,0,1,1,0,是
109,山及三角點,唐麻丹山,中華電信,3G/4G,是,是,是,唐麻丹山,唐麻丹山三角點,66000290,120.969361,24.159167,1,0,0,1,0,是
109,山及三角點,屋我尾山,中華電信,3G/4G,是,是,是,屋我尾山,步道前半段,66000290,120.972167,24.223583,1,0,1,0,0,是
109,山及三角點,波津加山,中華電信,3G/4G,是,是,是,波津加山,步道沿途,66000290,121.008,24.214222,1,1,1,0,0,是
109,國家森林園區,武陵國家森林遊樂區2站,中華電信,3G/4G,是,是,是,武陵國家森林遊樂區,武陵山莊1樓住宿區域,66000290,121.307222,24.39775,1,1,1,1,0,是
109,國家森林園區,武陵國家森林遊樂區2站,中華電信,3G/4G,是,是,是,武陵國家森林遊樂區,桃山瀑布休憩涼亭,66000290,121.301833,24.415056,1,1,1,0,0,是
109,國家森林園區,藤枝國家森林遊樂區3站,中華電信,3G/4G,是,是,是,藤枝國家森林遊樂區,柳杉平台與雲衫步道岔路口,64000370,120.759444,23.072611,1,0,0,0,0,是
109,國家森林園區,藤枝國家森林遊樂區3站,中華電信,3G/4G,是,是,是,藤枝國家森林遊樂區,賞鳥亭,64000370,120.761417,23.070167,1,0,0,0,0,是
109,國家森林園區,藤枝國家森林遊樂區3站,中華電信,3G/4G,是,是,是,藤枝國家森林遊樂區,西施花步道與六龜警備步道交叉口,64000370,120.766,23.075306,1,0,0,0,0,是
109,國家森林園區,大雪山國家森林遊樂區3站,中華電信,3G/4G,是,是,是,大雪山國家森林遊樂區,41K小神木,66000290,121.007918,24.259775,1,0,1,1,0,是
109,國家森林園區,大雪山國家森林遊樂區3站,中華電信,3G/4G,是,是,是,大雪山國家森林遊樂區,大雪山43K登山口,66000290,121.009222,24.257694,1,1,1,1,0,是
109,國家森林園區,大雪山國家森林遊樂區3站,中華電信,3G/4G,是,是,是,大雪山國家森林遊樂區,小神木至42K涼亭,66000290,121.0075,24.259694,1,1,1,0,0,是
109,國家森林園區,鰲鼓濕地森林園區2站,中華電信,3G/4G,否,否,否,鰲鼓濕地森林園區,觀海樓,10010090,120.148,23.501,1,1,0,1,1,是
109,國家森林園區,鰲鼓濕地森林園區2站,中華電信,3G/4G,否,否,否,鰲鼓濕地森林園區,森林步道,10010090,120.147389,23.512694,1,1,0,0,0,是
109,國家森林園區,合歡山國家森林遊樂區2站,台灣大哥大,4G,否,是,是,合歡山國家森林遊樂區（松雪樓大廳及2-3樓住宿區域）,合歡山森林遊樂區、松雪樓及部分山林步道,10015110,121.284589,24.141958,1,1,1,1,0,是
109,國家森林園區,合歡山國家森林遊樂區2站,台灣大哥大,4G,否,是,是,合歡山國家森林遊樂區（滑雪山莊1-2樓住宿區域）,合歡山森林遊樂區、松雪樓及部分山林步道,10015110,121.287539,24.139739,1,1,1,1,0,是
109,國家森林園區,八仙山國家森林遊樂區,中華電信,3G/4G,是,是,是,八仙山國家森林遊樂區,主峰步道沿途,66000290,121.0125,24.192,1,0,1,0,1,是
109,國家森林園區,內洞國家森林遊樂區,中華電信,3G/4G,是,是,是,內洞國家森林遊樂區,上層瀑布區,65000290,121.527028,24.8275,1,1,1,1,0,是
110,山莊及山屋,中霸山屋(苗栗泰安),中華電信,4G,是,是,是,中霸山屋,泰安鄉中霸山屋,10005180,121.251427,24.464853,1,1,1,1,1,是
110,山莊及山屋,翠峰山屋(宜蘭大同),台灣大哥大,4G,否,是,否,翠峰山屋,翠峰山屋,10002110,121.610313,24.509668,0,1,1,1,0,是
110,山莊及山屋,落鷹山莊(花蓮秀林),遠傳電信,4G,是,是,是,落鷹山莊,落鷹山莊,10015110,121.334545,24.118337,1,1,1,1,1,否
110,國家森林遊樂園,滿月圓滿足小橋(新北三峽),遠傳電信,4G,否,是,否,滿月圓國家森林遊樂區滿月圓水塔,滿月圓水塔,65000090,121.576811,24.850675,1,1,1,1,0,是
110,國家森林遊樂園,滿月圓滿足小橋(新北三峽),遠傳電信,4G,否,是,否,滿月圓滿足小橋(健行步道1k),健行步道1k,65000090,121.449361,24.82415,1,1,0,0,0,是
110,山徑步道及林道,桶後越嶺步道(新北烏來)-實際2站,中華電信,4G,是,是,是,桶後越嶺步道,桶後越嶺步道,65000290,121.6487,24.836643,1,1,1,0,0,是
110,山徑步道及林道,桶後越嶺步道(新北烏來)-實際2站,中華電信,4G,是,是,是,桶後越嶺步道,桶後越嶺步道,65000290,121.6487,24.836643,1,1,1,0,0,是
110,山徑步道及林道,戒茂斯線(台東南橫),遠傳電信,4G,是,是,是,戒茂斯線,嘉明湖戒茂斯登山口23.5K,10014120,121.012958,23.24898,0,1,0,0,0,是
110,山徑步道及林道,太加縱走山徑東入口,中華電信,4G,是,是,是,太加縱走山徑,山徑東入口,10002110,121.526107,24.496785,1,1,0,0,0,是
110,山徑步道及林道,麻荖漏步道2站,中華電信,4G,是,是,是,麻荖漏步道,步道0.5K,10014020,121.343833,23.131833,1,1,1,0,0,是
110,山徑步道及林道,麻荖漏步道2站,中華電信,4G,是,是,是,麻荖漏步道,步道1.1K,10014020,121.343833,23.131833,1,1,1,0,0,是
110,山徑步道及林道,利嘉林道17.4K,中華電信,4G,是,是,是,利嘉林道,林道17.4K(台東6、10及延平40林班三角點),10014040,121.01289,22.833533,1,0,0,0,0,是
110,山徑步道及林道,大漢林道,遠傳電信,4G,是,是,是,大漢林道12k,大漢林道12k,10013310,120.708417,22.675111,1,1,1,0,0,否
110,山徑步道及林道,卡悠峰瀑布,台灣大哥大,4G,是,是,是,卡悠峰瀑布遊憩區步道,卡悠峰瀑布,10013320,120.700412, 22.297280,1,1,1,1,1,否
110,道路及鐵路,臺七線64K,中華電信,4G,是,是,是,臺七線64K-四稜分站,臺七線64K,68000130,121.434986,24.645336,1,0,0,0,0,是
110,道路及鐵路,嘉義阿里山石猴車站,中華電信,4G,是,是,是,嘉義阿里山石猴車站,車站,10010180,120.809595,23.55593,1,0,0,0,0,是
110,山及三角點,鳶嘴山27.5支線,中華電信,4G,是,是,是,鳶嘴山27.5支線,支線沿途,66000290,121.239556,23.72475,1,0,0,0,0,是
110,山及三角點,花蓮縣萬榮鄉六順山,中華電信,4G,是,是,是,林田山事業區100、101林班，玉里事業區第22林班,花蓮縣萬榮鄉六順山,10015120,121.239443,23.724442,1,0,0,0,0,是
110,山及三角點,白石山,中華電信,4G,是,是,是,木瓜山事業區第39林班、立霧溪事業區第73林班交界,花蓮縣萬榮鄉白石山,10015120,121.388325,24.104717,1,0,0,0,0,是
110,山及三角點,加太奈山三角點,中華電信,4G,是,是,是,小鬼湖-加太奈山三角點,加太奈山三角點,10014040,120.895345,22.734897,1,0,0,0,0,是
111,山莊及山屋,七卡山莊(台中和平施工中),中華電信,4G,是,是,是,七卡山莊,和平區七卡山莊,66000290,121.291747,24.383781,1,1,1,0,0,否
111,國家森林遊樂園,東眼山森林遊樂區2站,中華電信,4G/5G,是,是,是,東眼山國家森林遊樂區造林紀念石,"遊樂區_小型車停車場、園區入口廁所旁、遊客中心、餐廳、東眼山三角點、親子峰頂點
 東滿步道2.4K、4K",68000130,121.413413,24.81628,1,1,1,0,0,是
111,國家森林遊樂園,東眼山森林遊樂區2站,中華電信,4G/5G,是,是,是,東眼山國家森林遊樂區東滿步道交界終點,"遊樂區_小型車停車場、園區入口廁所旁、遊客中心、餐廳、東眼山三角點、親子峰頂點
 東滿步道2.4K、4K",68000130,121.411194,24.8268,1,1,1,0,0,是
111,山徑步道及林道,里龍山(屏東獅子),中華電信,4G,否,否,否,里龍山步道,里龍山休息涼亭,10013320,120.730597,22.17705,1,1,1,0,0,是
111,山徑步道及林道,水漾森林(嘉義阿里山),中華電信,4G/5G,否,是,否,水漾森林步道,石夢谷停車場(水漾森林登山口),10010180,120.747,23.574528,1,1,1,0,0,是
111,山徑步道及林道,笠頂山步道(屏東瑪家),遠傳電信,4G,是,是,是,笠頂山步道,笠頂山三角點,10013280,120.6455,22.655181,1,1,1,0,0,否
111,山及三角點,巴博庫魯三角點(新北烏來),中華電信,4G,是,是,是,巴博庫魯第一登山口,110林道接巴博庫魯第一登山口,65000290,121.480458,24.668807,1,0,1,0,0,是
111,國家森林園區,大農大富平地森林園區4站(花蓮光復),遠傳電信,4G,是,是,是,"大農大富平地森林園區
(北環1入口)",園區入口,10015070,121.419308,23.619322,0,1,0,0,0,是
111,國家森林園區,大農大富平地森林園區4站(花蓮光復),遠傳電信,4G,是,是,是,"大農大富平地森林園區
(北環2入口)",園區入口,10015070,121.420933,23.621947,0,1,0,0,0,是
111,國家森林園區,大農大富平地森林園區4站(花蓮光復),遠傳電信,4G,是,是,是,"大農大富平地森林園區
(北環3入口)",園區入口,10015070,121.42255,23.624794,0,1,0,0,0,是
111,國家森林園區,大農大富平地森林園區4站(花蓮光復),遠傳電信,4G,是,是,是,"大農大富平地森林園區
(無障礙步道)",步道沿途,10015070,121.417189,23.618011,0,1,0,0,0,是
112,步道及林道,松羅湖山徑2站,遠傳電信,4G,是,是,是,松羅湖山徑入口,山徑入口,10002110,121.5733,24.6757,1,1,1,0,0,是
112,步道及林道,松羅湖山徑2站,遠傳電信,4G,是,是,是,松羅湖水龍頭休憩點,步道沿途,10002110,121.5569,24.6857,1,1,1,0,0,是
112,步道及林道,紅河谷越嶺步道1站,遠傳電信,4G,是,是,是,紅河谷越嶺步道2.1k休憩處,步道沿途,65000290,121.5274,24.876,1,1,1,0,0,是
112,步道及林道,能高越嶺西段3站,遠傳電信,4G,是,是,是,能高越嶺西段6K處,西段6K處,10008130,121.243,24.0544,1,1,1,0,0,是
112,步道及林道,能高越嶺西段3站,遠傳電信,4G,是,是,是,天池,步道沿途,10008130,121.2841,24.0506,1,1,1,0,0,是
112,山莊及山屋,嘉明湖山屋(台東海端)/5G優化1站,台灣大哥大,4G/5G,是,是,是,嘉明湖山屋（步道8.4k）,步道沿途,10014130,120.9969,23.284,1,1,1,0,0,是
112,步道及林道,浸水營古道2站,台灣大哥大,4G,是,是,是,浸水營步道東段9K,步道沿途,10013310,120.45235,22.24281,1,1,1,0,0,是
112,步道及林道,浸水營古道2站,台灣大哥大,4G,是,是,是,浸水營步道東段10K,步道沿途,10013310,120.45235,22.24281,1,1,1,0,0,是
112,步道及林道,六順山七彩湖步道共2站,遠傳電信,4G,是,是,是,花蓮縣萬榮鄉六順山,步道沿途,10015120,121.2394,23.7244,1,1,1,0,0,是
112,步道及林道,人倫林道/人倫分站1站,台灣大哥大,4G,是,是,是,人倫分站,步道沿途,10008120,120.9082,23.7125,1,1,1,0,0,是
112,山徑、步道及林道,人倫林道/西巒大山登山口1站,台灣大哥大,4G,是,是,是,西巒大山登山口,西巒大山登山口,10008120,120.9067,23.712,1,1,1,0,0,是
112,步道及林道,六順山七彩湖步道共2站,遠傳電信,4G,是,是,是,七彩湖周邊山角點,步道沿途,10015120,121.2334,23.7492,1,1,1,0,0,是
112,步道及林道,花蓮大農大富2站,中華電信,4G,是,是,是,花蓮大農大富南環1入口,步道沿途,10015070,121.41,23.6101,1,1,1,0,0,是
112,步道及林道,花蓮大農大富2站,中華電信,4G,是,是,是,花蓮大農大富南環2,步道沿途,10015070,121.4082,23.6067,1,1,1,0,0,是
112,山徑、步道及林道,蘇花古道/大南澳越嶺段登山口1站,中華電信,4G,是,是,是,大南澳越嶺段登山口,登山口,10002120,121.8157,24.4625,1,1,1,0,0,是
112,山徑、步道及林道,大雪山國家森林遊樂區1站,中華電信,4G,是,是,是,鞍馬山支線跟木馬道交叉口,支線沿途,66000290,121.0118,24.2597,1,1,1,0,0,是
112,山徑、步道及林道,武陵國家森林遊樂區5站,中華電信,4G,是,是,是,桃山瀑布步道4.2K(涼亭),步道沿途,66000290,121.3026,24.4125,1,1,1,0,0,是
112,山徑、步道及林道,武陵國家森林遊樂區5站,中華電信,4G,是,是,是,桃山瀑布步道4.1K(池有品田山登山口),步道沿途,66000290,121.3045,24.4081,1,1,1,0,0,是
112,山徑、步道及林道,武陵國家森林遊樂區5站,中華電信,4G,是,是,是,桃山瀑布步道3.0 K,步道沿途,66000290,121.3042,24.4069,1,1,1,0,0,是
112,山徑、步道及林道,武陵國家森林遊樂區5站,中華電信,4G,是,是,是,桃山瀑布步道2.0 K,步道沿途,66000290,121.3031,24.406,1,1,1,0,0,是
112,山徑、步道及林道,武陵國家森林遊樂區5站,中華電信,4G,是,是,是,桃山瀑布步道4.3K(瀑布前),步道沿途,66000290,121.3027,24.4135,1,1,1,0,0,是
112,步道及林道,能高越嶺西段3站,遠傳電信,4G,是,是,是,屯原登山口,步道沿途,10008130,121.2151,24.0505,1,1,1,0,0,是
112,國家森林遊樂園,雙流國家森林遊樂區2站,遠傳電信,4G,是,是,是,瀑布步道大涼亭,步道沿途,10013320,120.8129,22.221,1,1,1,0,0,是
112,國家森林遊樂園,雙流國家森林遊樂區2站,遠傳電信,4G,是,是,是,瀑布平台,步道沿途,10013320,120.821,22.2228,1,1,1,0,0,是
112,山徑、步道及林道,加里山登山步道2站,中華電信,4G,是,是,是,大坪登山口,登山口,10005110,120.9998,24.5235,1,1,1,0,0,是
112,山徑、步道及林道,加里山登山步道2站,中華電信,4G,是,是,是,風爐闕,步道沿途,10005110,121.0073,24.5241,1,1,1,0,0,是
112,山徑、步道及林道,浸水營古道2站(西段),台灣大哥大,4G,是,是,是,登山口,登山口,10013310,120.7567,22.4075,1,1,1,0,0,是
112,山徑、步道及林道,浸水營古道2站(西段),台灣大哥大,4G,是,是,是,州廳界,步道沿途,10013310,120.7737,22.4072,1,1,1,0,0,是
112,山徑、步道及林道,霞喀羅國家步道/養老部落,中華電信,4G,是,是,是,霞喀羅國家步道,步道沿途,10004120,121.2556,24.5882,1,1,1,0,0,否
112,山徑、步道及林道,雪山登山口5G優化,中華電信,4G/5G,是,是,是,雪山登山口,登山口,66000290,121.2991,24.3854,1,1,1,0,0,否
112,山徑、步道及林道,嘉義縣大埔鄉九彎仔步道,中華電信,4G,否,是,否,九彎仔步道,步道沿途,10010170,120.6452,23.3501,1,1,1,0,0,否
112,山徑、步道及林道,嘉義縣番路鄉葫蘆谷步道,中華電信,4G,否,是,否,葫蘆谷步道,步道沿途,10010160,120.6161,23.371,1,1,1,0,0,否
112,山徑、步道及林道,玉里赤柯山遊樂區,遠傳電信,4G,是,是,是,赤柯山,登山口,10015030,121.3872,23.3959,1,1,1,0,0,否
